Order,Family,Species,Location,Behaviour,Trophic,Individuals,Empty,Empty_perc
Osteoglossiformes,Mormyridae,Hippopotamyrus discorhynchus,Africa,Nocturnal,Invertivore,37,4,0.108108108108108
Osteoglossiformes,Mormyridae,Marcusenius macrolepidotus,Africa,Nocturnal,Invertivore,83,14,0.168674698795181
Osteoglossiformes,Mormyridae,Mormyrus lacerda,Africa,Nocturnal,Invertivore,46,2,0.0434782608695652
Osteoglossiformes,Mormyridae,Petrocephalus catostoma,Africa,Nocturnal,Invertivore,11,0,0
Osteoglossiformes,Mormyridae,Pollimyrus castelnaui,Africa,Nocturnal,Invertivore,47,0,0
Cypriniformes,Cyprinidae,Barbus annectens,Africa,Diurnal,Omnivore,17,0,0
Cypriniformes,Cyprinidae,Barbus paludinosus,Africa,Diurnal,Invertivore,60,5,0.0833333333333333
Cypriniformes,Cyprinidae,Barbus poechii,Africa,Diurnal,Omnivore,51,2,0.0392156862745098
Cypriniformes,Cyprinidae,Labeo lunatus,Africa,Diurnal,Algiv./Detritiv.,19,4,0.210526315789474
Characiformes,Alestiidae,Brycinus lateralis,Africa,Diurnal,Omnivore,19,0,0
Characiformes,Hepsetidae,Hepsetus odoe,Africa,Diurnal,Piscivore,194,109,0.561855670103093
Siluriformes,Clariidae,Clarias gariepinus,Africa,Nocturnal,Piscivore,59,38,0.644067796610169
Siluriformes,Clariidae,Clarias ngamensis,Africa,Nocturnal,Piscivore,48,20,0.416666666666667
Siluriformes,Clariidae,Clarias theodorae,Africa,Nocturnal,Piscivore,19,2,0.105263157894737
Siluriformes,Mochokidae,Synodontis leopardinus,Africa,Nocturnal,Invertivore,62,18,0.290322580645161
Siluriformes,Mochokidae,Synodontis macrostigma,Africa,Nocturnal,Invertivore,28,6,0.214285714285714
Siluriformes,Mochokidae,Synodontis nigromaculatus,Africa,Nocturnal,Invertivore,24,0,0
Siluriformes,Mochokidae,Synodontis woosnami,Africa,Nocturnal,Invertivore,82,7,0.0853658536585366
Siluriformes,Schilbeidae,Schilbe mystus,Africa,Nocturnal,Piscivore,399,161,0.403508771929825
Cyprinodontiformes,Poeciliidae,Aplocheilichthys johnstoni,Africa,Diurnal,Invertivore,65,1,0.0153846153846154
Synbranchiformes,Mastacembelidae,Caecomastacembelus frenatus,Africa,Nocturnal,Invertivore,10,4,0.4
Perciformes,Cichlidae,Hemichromis fasciatus,Africa,Diurnal,Piscivore,20,13,0.65
Perciformes,Cichlidae,Oreochromis andersonii,Africa,Diurnal,Algiv./Detritiv.,20,0,0
Perciformes,Cichlidae,Oreochromis macrochir,Africa,Diurnal,Invertivore,42,4,0.0952380952380952
Perciformes,Cichlidae,Pharyngochromis darlingi,Africa,Diurnal,Invertivore,28,0,0
Perciformes,Cichlidae,Pseudocrenilabrus philander,Africa,Diurnal,Invertivore,48,0,0
Perciformes,Cichlidae,Sargochromis carlottae,Africa,Diurnal,Invertivore,35,2,0.0571428571428571
Perciformes,Cichlidae,Sargochromis codringtonii,Africa,Diurnal,Invertivore,119,13,0.109243697478992
Perciformes,Cichlidae,Sargochromis giardi,Africa,Diurnal,Invertivore,101,51,0.504950495049505
Perciformes,Cichlidae,Serranochromis altus,Africa,Diurnal,Piscivore,104,81,0.778846153846154
Perciformes,Cichlidae,Serranochromis angusticeps,Africa,Diurnal,Piscivore,223,176,0.789237668161435
Perciformes,Cichlidae,Serranochromis macrocephalus,Africa,Diurnal,Piscivore,267,189,0.707865168539326
Perciformes,Cichlidae,Serranochromis robustus,Africa,Diurnal,Piscivore,181,105,0.580110497237569
Perciformes,Cichlidae,Tilapia rendalli,Africa,Diurnal,Algiv./Detritiv.,86,8,0.0930232558139535
Perciformes,Cichlidae,Tilapia sparrmani,Africa,Diurnal,Algiv./Detritiv.,92,4,0.0434782608695652
Clupeiformes,Clupeidae,Pellona castelnaeana,Central/South America,Diurnal,Piscivore,20,7,0.35
Characiformes,Alestiidae,Hydrocynus vittatus,Central/South America,Diurnal,Piscivore,319,178,0.557993730407524
Characiformes,Anostomidae,Leporinus friderici,Central/South America,Diurnal,Omnivore,65,2,0.0307692307692308
Characiformes,Anostomidae,Schizodon isognathus,Central/South America,Diurnal,Omnivore,92,1,0.0108695652173913
Characiformes,Characidae,Acestrorhynchus heterolepis,Central/South America,Diurnal,Piscivore,11,8,0.727272727272727
Characiformes,Characidae,Acestrorhynchus minimus,Central/South America,Diurnal,Piscivore,35,16,0.457142857142857
Characiformes,Characidae,Aphyocharax erythrurus,Central/South America,Diurnal,Invertivore,273,7,0.0256410256410256
Characiformes,Characidae,Astyanax bimaculatus,Central/South America,Diurnal,Omnivore,390,7,0.0179487179487179
Characiformes,Characidae,Astyanax fasciatus,Central/South America,Diurnal,Omnivore,549,8,0.0145719489981785
Characiformes,Characidae,Astyanax metae,Central/South America,Diurnal,Omnivore,182,2,0.010989010989011
Characiformes,Characidae,Brycon guatemalensis,Central/South America,Diurnal,Omnivore,115,3,0.0260869565217391
Characiformes,Characidae,Brycon sp.,Central/South America,Diurnal,Omnivore,18,0,0
Characiformes,Characidae,Bryconamericus beta,Central/South America,Diurnal,Omnivore,460,3,0.00652173913043478
Characiformes,Characidae,Bryconops giacopinii,Central/South America,Diurnal,Omnivore,110,1,0.00909090909090909
Characiformes,Characidae,Catoprion mento,Central/South America,Diurnal,Piscivore,23,2,0.0869565217391304
Characiformes,Characidae,Characidium sp.,Central/South America,Diurnal,Invertivore,17,0,0
Characiformes,Characidae,Characidium sp. 1,Central/South America,Diurnal,Invertivore,183,11,0.0601092896174863
Characiformes,Characidae,Characidium sp. 2,Central/South America,Diurnal,Invertivore,27,4,0.148148148148148
Characiformes,Characidae,Characidium sp. J,Central/South America,Diurnal,Invertivore,68,13,0.191176470588235
Characiformes,Characidae,Charax condei,Central/South America,Nocturnal,Invertivore,75,27,0.36
Characiformes,Characidae,Charax gibbosus,Central/South America,Diurnal,Piscivore,295,79,0.267796610169492
Characiformes,Characidae,Cheirodon pulcher,Central/South America,Diurnal,Omnivore,345,7,0.0202898550724638
Characiformes,Characidae,Cheirodontops geayi,Central/South America,Diurnal,Invertivore,94,6,0.0638297872340425
Characiformes,Characidae,Corynopoma riisei,Central/South America,Diurnal,Invertivore,243,1,0.00411522633744856
Characiformes,Characidae,Creagrutus sp.,Central/South America,Diurnal,Omnivore,317,3,0.00946372239747634
Characiformes,Characidae,Ctenobrycon spilurus,Central/South America,Diurnal,Omnivore,384,6,0.015625
Characiformes,Characidae,Ephippicharax orbicularis,Central/South America,Diurnal,Omnivore,13,0,0
Characiformes,Characidae,Gephyrocharax valencia,Central/South America,Diurnal,Invertivore,295,7,0.023728813559322
Characiformes,Characidae,Gnathocharax steindachneri,Central/South America,Diurnal,Invertivore,33,1,0.0303030303030303
Characiformes,Characidae,Hemigrammus analis,Central/South America,Diurnal,Invertivore,189,19,0.100529100529101
Characiformes,Characidae,Hemigrammus barrigonae,Central/South America,Diurnal,Invertivore,213,15,0.0704225352112676
Characiformes,Characidae,Hemigrammus bellottii,Central/South America,Diurnal,Invertivore,174,21,0.120689655172414
Characiformes,Characidae,Hemigrammus micropterus,Central/South America,Diurnal,Invertivore,217,5,0.0230414746543779
Characiformes,Characidae,Hemigrammus microstomus,Central/South America,Diurnal,Invertivore,210,6,0.0285714285714286
Characiformes,Characidae,Hemigrammus rhodostomus,Central/South America,Diurnal,Invertivore,107,8,0.0747663551401869
Characiformes,Characidae,Hemigrammus sp. arriba,Central/South America,Diurnal,Invertivore,136,7,0.0514705882352941
Characiformes,Characidae,Hemigrammus sp. scissortail,Central/South America,Diurnal,Invertivore,55,5,0.0909090909090909
Characiformes,Characidae,Hemigrammus stictus,Central/South America,Diurnal,Invertivore,208,10,0.0480769230769231
Characiformes,Characidae,Hemigrammus vorderwinkleri,Central/South America,Diurnal,Invertivore,117,13,0.111111111111111
Characiformes,Characidae,Heterocharax macrolepis,Central/South America,Nocturnal,Invertivore,113,11,0.0973451327433628
Characiformes,Characidae,Hyphessobrycon metae,Central/South America,Diurnal,Omnivore,56,16,0.285714285714286
Characiformes,Characidae,Hyphessobrycon sweglesi,Central/South America,Diurnal,Omnivore,30,0,0
Characiformes,Characidae,Iguanodectes spilurus,Central/South America,Diurnal,Omnivore,27,0,0
Characiformes,Characidae,Jupiaba abramoides,Central/South America,Diurnal,Omnivore,35,0,0
Characiformes,Characidae,Markiana geayi,Central/South America,Diurnal,Omnivore,264,10,0.0378787878787879
Characiformes,Characidae,Metynnis hypsauchen,Central/South America,Diurnal,Omnivore,239,0,0
Characiformes,Characidae,Moenkhausia copei,Central/South America,Diurnal,Omnivore,165,32,0.193939393939394
Characiformes,Characidae,Moenkhausia lepidura,Central/South America,Diurnal,Omnivore,31,2,0.0645161290322581
Characiformes,Characidae,Myleus rubripinnis,Central/South America,Diurnal,Omnivore,16,0,0
Characiformes,Characidae,Parapristella georgiae,Central/South America,Diurnal,Omnivore,208,76,0.365384615384615
Characiformes,Characidae,Pristobrycon sp.,Central/South America,Diurnal,Piscivore,62,0,0
Characiformes,Characidae,Pristobrycon striolatus,Central/South America,Diurnal,Piscivore,12,1,0.0833333333333333
Characiformes,Characidae,Pygocentrus cariba,Central/South America,Diurnal,Piscivore,204,4,0.0196078431372549
Characiformes,Characidae,Pygopristis denticulatus,Central/South America,Diurnal,Piscivore,79,0,0
Characiformes,Characidae,Roeboides dayi,Central/South America,Diurnal,Piscivore,753,69,0.0916334661354582
Characiformes,Characidae,Roeboides guatemalensis,Central/South America,Diurnal,Piscivore,21,2,0.0952380952380952
Characiformes,Characidae,Serrabrycon magoi,Central/South America,Diurnal,Invertivore,150,33,0.22
Characiformes,Characidae,Serrasalmus irritans,Central/South America,Diurnal,Piscivore,73,1,0.0136986301369863
Characiformes,Characidae,Serrasalmus manueli,Central/South America,Diurnal,Piscivore,301,56,0.186046511627907
Characiformes,Characidae,Serrasalmus rhombeus,Central/South America,Diurnal,Piscivore,75,2,0.0266666666666667
Characiformes,Characidae,Tetragonopterus argenteus,Central/South America,Diurnal,Omnivore,133,1,0.0075187969924812
Characiformes,Characidae,Triportheus sp. black-tail,Central/South America,Diurnal,Omnivore,54,0,0
Characiformes,Characidae,Triportheus sp. red-tail,Central/South America,Diurnal,Omnivore,125,1,0.008
Characiformes,Characidae,Xenagoniates bondi,Central/South America,Diurnal,Piscivore,13,1,0.0769230769230769
Characiformes,Ctenoluciidae,Boulengerella cuvieri,Central/South America,Diurnal,Piscivore,34,27,0.794117647058823
Characiformes,Ctenoluciidae,Boulengerella lucius,Central/South America,Diurnal,Piscivore,22,14,0.636363636363636
Characiformes,Curimatidae,Curimata cyprinoides,Central/South America,Diurnal,Algiv./Detritiv.,11,1,0.0909090909090909
Characiformes,Curimatidae,Curimatopsis evelynae,Central/South America,Diurnal,Algiv./Detritiv.,149,3,0.0201342281879195
Characiformes,Curimatidae,Cyphocharax spilurus,Central/South America,Diurnal,Algiv./Detritiv.,255,8,0.0313725490196078
Characiformes,Curimatidae,Prochilodus mariae,Central/South America,Diurnal,Algiv./Detritiv.,88,33,0.375
Characiformes,Curimatidae,Steindachnerina argentea,Central/South America,Diurnal,Algiv./Detritiv.,97,2,0.0206185567010309
Characiformes,Cynodontidae,Hydrolycus armatus,Central/South America,Diurnal,Piscivore,38,21,0.552631578947368
Characiformes,Erythrinidae,Hoplerythrinus unitaeniatus,Central/South America,Diurnal,Piscivore,116,36,0.310344827586207
Characiformes,Erythrinidae,Hoplias malabaricus,Central/South America,Diurnal,Piscivore,646,232,0.359133126934985
Characiformes,Gasteropelecidae,Thoracocharax stellatus,Central/South America,Diurnal,Omnivore,216,20,0.0925925925925926
Characiformes,Lebiasinidae,Copella metae,Central/South America,Diurnal,Invertivore,31,0,0
Characiformes,Lebiasinidae,Lebiasina erythrinoides,Central/South America,Diurnal,Omnivore,283,1,0.00353356890459364
Characiformes,Lebiasinidae,Pyrrhulina lugubris,Central/South America,Diurnal,Invertivore,350,42,0.12
Siluriformes,Ageneiosidae,Ageneiosus brevifilis,Central/South America,Nocturnal,Piscivore,17,4,0.235294117647059
Siluriformes,Aspredinidae,Bunocephalus sp.,Central/South America,Nocturnal,Invertivore,299,146,0.488294314381271
Siluriformes,Auchenipteridae,Entomocorus gameroi,Central/South America,Nocturnal,Invertivore,49,0,0
Siluriformes,Auchenipteridae,Trachelyopterus galeatus,Central/South America,Nocturnal,Invertivore,211,39,0.184834123222749
Siluriformes,Callichthyidae,Corydoras aeneus,Central/South America,Diurnal,Invertivore,176,21,0.119318181818182
Siluriformes,Callichthyidae,Corydoras sp. pygmy,Central/South America,Diurnal,Invertivore,210,6,0.0285714285714286
Siluriformes,Callichthyidae,Corydoras sp. stripetail,Central/South America,Diurnal,Invertivore,172,42,0.244186046511628
Siluriformes,Callichthyidae,Hoplosternum littorale,Central/South America,Nocturnal,Omnivore,141,80,0.567375886524823
Siluriformes,Loricariidae,Ancistrus sp.,Central/South America,Nocturnal,Algiv./Detritiv.,89,2,0.0224719101123595
Siluriformes,Loricariidae,Hypoptopoma sp.,Central/South America,Diurnal,Algiv./Detritiv.,40,1,0.025
Siluriformes,Loricariidae,Hypostomus sp.,Central/South America,Nocturnal,Algiv./Detritiv.,103,0,0
Siluriformes,Loricariidae,Loricariichthys platymetopon,Central/South America,Nocturnal,Omnivore,62,2,0.032258064516129
Siluriformes,Loricariidae,Otocinclus sp.,Central/South America,Diurnal,Algiv./Detritiv.,72,1,0.0138888888888889
Siluriformes,Loricariidae,Pterygoplichthys sp.,Central/South America,Nocturnal,Algiv./Detritiv.,54,1,0.0185185185185185
Siluriformes,Loricariidae,Rineloricaria sp.,Central/South America,Nocturnal,Algiv./Detritiv.,72,6,0.0833333333333333
Siluriformes,Pimelodidae,Microglanis iheringi,Central/South America,Nocturnal,Invertivore,247,59,0.238866396761134
Siluriformes,Pimelodidae,Pimelodella sp.,Central/South America,Nocturnal,Invertivore,12,1,0.0833333333333333
Siluriformes,Pimelodidae,Pimelodella sp. 2,Central/South America,Nocturnal,Invertivore,183,7,0.0382513661202186
Siluriformes,Pimelodidae,Pimelodella sp. 3,Central/South America,Nocturnal,Invertivore,203,19,0.0935960591133005
Siluriformes,Pimelodidae,Platynematichthys notatus,Central/South America,Nocturnal,Piscivore,15,7,0.466666666666667
Siluriformes,Pimelodidae,Rhamdia guatemalensis,Central/South America,Nocturnal,Invertivore,182,98,0.538461538461538
Siluriformes,Pimelodidae,Rhamdia sp.,Central/South America,Nocturnal,Piscivore,113,16,0.141592920353982
Siluriformes,Pimelodidae,Rhamdia sp. 1,Central/South America,Nocturnal,Piscivore,43,8,0.186046511627907
